Date,AAPL,MSFT,GOOG,NVDA,ORCL,INTC,AMD,AMZN,CSCO,ADBE,QCOM,IBM,Tech,Total Portfolio
2005-01-04,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,240000.0,240000.0
2005-01-05,20175.17380612686,19955.290461236276,19898.20201175052,20186.91356501199,20061.247393725476,19805.395033108907,19544.780697366707,19824.394032678625,20010.774085679306,19890.10932464772,20085.454605376173,19958.62215643636,239396.3571731449,239396.3571731449
2005-01-06,20190.812433873707,19932.93361947383,19388.177368566292,19991.132377338017,20245.030041075926,19867.317714186298,19515.091743379013,19482.675841613578,20312.50618584304,19560.43856913551,20413.003857706706,19896.584322271454,238795.70407446337,238795.70407446337
2005-01-07,21660.91817864981,19873.331953818655,19933.163418460572,19608.331602507336,20413.479687222225,20168.073763720942,19713.01432823763,20085.427850434273,20172.415824250013,19573.75768846258,20517.442218249897,19809.715715964612,241529.07222997854,241529.07222997854
2005-01-10,21570.222856984845,19970.19709479183,20057.583843874003,19652.87480783486,20199.078861123682,20238.839206226796,19920.831343562484,19857.616477427353,20172.415824250013,19587.078078334285,20484.20825141503,19789.03383149698,241499.98047732218,241499.98047732218
2005-01-11,20193.92521210862,19918.037347821213,19901.284271646793,19047.580479063665,20214.398986727003,19938.08315669215,14705.591617858296,19762.69488341536,20086.205507910705,19353.977608302648,20526.945761991134,19648.3923255743,233297.11715911186,233297.11715911186
2005-01-12,20475.44417813313,19955.290461236276,20090.489748655807,18887.367113842574,20643.185923951736,20486.519714439662,14863.929874498153,20075.936369965868,20398.703679706083,19640.35836727646,20469.96678936548,19691.829756422914,235679.02197749418,235679.02197749418
2005-01-13,21832.969241665443,19575.271816028144,20085.34801484688,19083.26127593306,20643.185923951736,20185.766583789795,15002.474551381389,20218.31989253852,20237.06995518304,19387.278582981904,19985.74978833215,19534.63648753574,235771.3321141678,235771.3321141678
2005-01-14,21958.068298763934,19463.487607215906,20562.47271122591,19145.52929817685,20872.892160681244,20362.67435228487,15002.474551381389,21143.80486837813,20344.83004569049,19390.60868044983,20037.97042687346,19462.242854584845,237747.0558557069,237747.0558557069
2005-01-18,22098.832141409566,19612.522857062628,20966.582404327557,19448.113023082406,21102.60759426848,20291.903072009467,15338.941813123238,21158.04435219005,20193.95758437049,19440.558871924084,20232.602769370857,19627.712004954265,239512.3784880931,239512.3784880931
2005-01-19,21857.98606362225,19359.17225803584,20287.91723337782,19003.15024815265,20627.88051332077,19991.154319686764,15338.941813123238,20863.78582657635,19558.188757909964,19274.059080706327,19496.790494181358,19255.422446060937,234914.44905475425,234914.44905475425
2005-01-20,22039.3941454857,19269.751108127806,19940.356682213347,19047.580479063665,20336.90297103569,19973.462959060304,15477.487433771303,20104.4130744804,19741.37866783928,19337.328391507654,17934.964670499583,19234.737433898114,232437.75801698284,232437.75801698284
2005-01-21,22048.788532619652,19113.257360551845,19360.415183585617,19083.26127593306,20382.857829731027,19831.93791181815,15329.045495127342,19534.883510408436,19407.330721875758,19004.32753852752,17944.447798464793,19106.512877893994,230147.0660365372,230147.0660365372
2005-01-24,22133.243350500332,19128.17021124915,18583.03428428267,18317.75358194077,20275.650059195574,19451.57657723398,15002.474551381389,19164.688614828865,19127.149998689703,18444.887680996228,17346.302017574486,18984.484286068382,225959.41521394157,225959.41521394157
2005-01-25,22536.74610416933,19388.97101848284,18212.85328194645,18638.185526586793,20811.641088212673,19690.399729594512,15586.344100431677,19430.46817281872,18868.54309181478,18508.158262342182,17403.2693240424,19067.221207024486,228142.80090746685,228142.80090746685
2005-01-26,22599.315562471176,19381.518737895356,19459.12296797002,18878.504705384446,20857.583071307192,19831.93791181815,15813.953751748324,19620.31136084271,19062.49907337574,18651.347371284457,17517.20685351768,19017.570609673803,230690.8719772891,230690.8719772891
